Accession	GenbankAcc	Length	Taxid	ProjectID	TaxName	Replicon	Create Date	Update Date
NC_011603.1	FM180569.1	97978	574521	59343	Escherichia coli O127:H6 str. E2348/69	plasmid pMAR2	Nov 28 2008	Jun  7 2013  9:33:14:716PM
NC_011653.1	CP001185.1	2016657	484019	59095	Thermosipho africanus TCF52B	chromosome 	Dec 10 2008	Jun 10 2013  8:22:24:593PM
NC_011654.1	CP001178.1	12481	405534	58753	Bacillus cereus AH187	plasmid pAH187_12	Dec 11 2008	Jun  7 2013  9:37:58:273PM
NC_011655.1	CP001179.1	270082	405534	58753	Bacillus cereus AH187	plasmid pAH187_270	Dec 15 2008	Jun 10 2013  8:22:33:620PM
NC_011656.1	CP001180.1	45173	405534	58753	Bacillus cereus AH187	plasmid pAH187_45	Dec 11 2008	Jun  7 2013  9:38:00:990PM
NC_011657.1	CP001181.1	3091	405534	58753	Bacillus cereus AH187	plasmid pAH187_3	Dec 11 2008	Jun  7 2013  9:38:01:986PM
NC_011658.1	CP001177.1	5269030	405534	58753	Bacillus cereus AH187	chromosome 	Dec 15 2008	Jun 10 2013  8:22:50:776PM
NC_011660.1	CP001175.1	2976212	552536	59203	Listeria monocytogenes HCC23	chromosome 	Dec 15 2008	Jun 10 2013  8:23:18:926PM
NC_011661.1	CP001251.1	1855560	515635	59177	Dictyoglomus turgidum DSM 6724	chromosome 	Dec 15 2008	Sep  6 2013  5:39:29:983PM
NC_011662.2	CP001281.2	4496212	85643	58987	Thauera sp. MZ1T	chromosome 	Dec 15 2008	Jun 10 2013  9:05:10:196PM
NC_011663.1	CP001252.1	5145902	407976	58775	Shewanella baltica OS223	chromosome 	Dec 15 2008	Jun 10 2013  8:23:54:586PM
NC_011664.1	CP001253.1	88311	407976	58775	Shewanella baltica OS223	plasmid pS22301	Dec 15 2008	Jun  7 2013  9:46:32:810PM
NC_011665.1	CP001255.1	59223	407976	58775	Shewanella baltica OS223	plasmid pS22303	Dec 15 2008	Jun  7 2013  9:46:34:003PM
NC_011666.1	CP001280.1	4305430	395965	59433	Methylocella silvestris BL2	chromosome 	Dec 15 2008	Jun 10 2013  8:24:26:576PM
NC_011667.1	CP001282.1	78374	85643	58987	Thauera sp. MZ1T	plasmid pTha01	Dec 15 2008	Jun  7 2013  9:48:04:180PM
NC_011668.1	CP001254.1	65448	407976	58775	Shewanella baltica OS223	plasmid pS22302	Dec 15 2008	Jun  7 2013  9:48:07:693PM
NS_000190.1		2082083	414005	41991	Cenarchaeum symbiosum B	Chromosome scaffold un	Apr 3 2008	May 28 2010  1:51:13:703PM
NS_000191.1	AP009510.1	1125857	471821	59059	uncultured Termite group 1 bacterium phylotype Rs-D17	Chromosome scaffold un	Jun 6 2008	Feb 28 2013 10:36:23:366AM
NS_000192.1	AP009511.1	11650	471821	59059	uncultured Termite group 1 bacterium phylotype Rs-D17	plasmid pTGRD1	Jun 6 2008	Feb 28 2013 10:36:34:776AM
NS_000193.1	AP009512.1	5701	471821	59059	uncultured Termite group 1 bacterium phylotype Rs-D17	plasmid pTGRD2	Jun 6 2008	Feb 28 2013 10:36:40:963AM
NS_000194.1	AP009513.1	5362	471821	59059	uncultured Termite group 1 bacterium phylotype Rs-D17	plasmid pTGRD3	Jun 6 2008	Feb 28 2013 10:36:46:466AM
NC_011720.1	CP001202.1	48168	445985	59429	Borrelia burgdorferi ZS7	plasmid ZS7_cp32-3+10	Dec 17 2008	Jun  7 2013  9:48:12:743PM
NC_011721.1	CP001288.1	50894	41431	59027	Cyanothece sp. PCC 8801	plasmid pP880101	Dec 17 2008	Jun  7 2013  9:48:15:260PM
NC_011722.1	CP001211.1	30467	445985	59429	Borrelia burgdorferi ZS7	plasmid ZS7_cp32-9	Dec 17 2008	Jun  7 2013  9:48:17:080PM
NC_011723.1	CP001289.1	40786	41431	59027	Cyanothece sp. PCC 8801	plasmid pP880102	Dec 17 2008	Jun  7 2013  9:48:18:733PM
NC_011724.1	CP001212.1	26514	445985	59429	Borrelia burgdorferi ZS7	plasmid ZS7_cp26	Dec 17 2008	Jun  7 2013  9:48:20:210PM
NC_011725.1	CP001176.1	5419036	405532	58757	Bacillus cereus B4264	chromosome 	Dec 17 2008	Jun 10 2013  8:25:04:856PM
NC_011726.1	CP001287.1	4679413	41431	59027	Cyanothece sp. PCC 8801	chromosome 	Dec 17 2008	Jun 10 2013  8:25:39:610PM
NC_011727.1	CP001290.1	16601	41431	59027	Cyanothece sp. PCC 8801	plasmid pP880103	Dec 17 2008	Jun  7 2013  9:52:57:266PM
NC_011728.1	CP001205.1	906707	445985	59429	Borrelia burgdorferi ZS7	chromosome 	Dec 17 2008	Jun 10 2013  8:26:02:096PM
NC_011729.1	CP001291.1	5942652	65393	59025	Cyanothece sp. PCC 7424	chromosome 	Dec 18 2008	Jun 10 2013  8:26:27:203PM
NC_011730.1	CP001294.1	29239	65393	59025	Cyanothece sp. PCC 7424	plasmid pP742403	Dec 18 2008	Jun  7 2013  9:54:44:563PM
NC_011731.1	CP001206.1	30330	445985	59429	Borrelia burgdorferi ZS7	plasmid ZS7_cp32-1	Dec 18 2008	Jun  7 2013  9:54:45:863PM
NC_011732.1	CP001295.1	22636	65393	59025	Cyanothece sp. PCC 7424	plasmid pP742404	Dec 18 2008	Jun  7 2013  9:54:47:306PM
NC_011733.1	CP001296.1	18083	65393	59025	Cyanothece sp. PCC 7424	plasmid pP742405	Dec 18 2008	Jun  7 2013  9:54:48:100PM
NC_011734.1	CP001297.1	15219	65393	59025	Cyanothece sp. PCC 7424	plasmid pP742406	Dec 18 2008	Jun  7 2013  9:54:48:666PM
NC_011735.1	CP001200.1	29806	445985	59429	Borrelia burgdorferi ZS7	plasmid ZS7_cp32-12	Dec 18 2008	Jun  7 2013  9:54:49:610PM
NC_011736.1	CP001208.1	30964	445985	59429	Borrelia burgdorferi ZS7	plasmid ZS7_cp32-4	Dec 18 2008	Jun  7 2013  9:54:50:950PM
NC_011737.1	CP001293.1	197705	65393	59025	Cyanothece sp. PCC 7424	plasmid pP742402	Dec 18 2008	Jun 10 2013  8:27:01:033PM
NC_011738.1	CP001292.1	328635	65393	59025	Cyanothece sp. PCC 7424	plasmid pP742401	Dec 18 2008	Jun 10 2013  8:27:02:920PM
NC_011739.1	CU928149.1	33809	585056	62981	Escherichia coli UMN026	plasmid p2ESCUM	Dec 18 2008	Jun  7 2013  9:55:03:913PM
NC_011740.1	CU928158.2	4588711	585054	59375	Escherichia fergusonii ATCC 35469	chromosome 	Dec 19 2008	Aug 27 2013  9:31:25:690PM
NC_011741.1	CU928160.2	4700560	585034	59377	Escherichia coli IAI1	chromosome 	Dec 19 2008	Aug 27 2013  9:31:45:683PM
NC_011742.1	CU928161.2	5032268	585035	62979	Escherichia coli S88	chromosome 	Dec 19 2008	Aug 27 2013  9:32:06:626PM
NC_011743.1	CU928144.1	55150	585054	59375	Escherichia fergusonii ATCC 35469	plasmid pEFER	Dec 19 2008	Jun 10 2013  1:07:40:196PM
NC_011744.2	FM954973.2	1675515	575788	59353	Vibrio splendidus LGP32	chromosome 2	Dec 22 2008	Jun 10 2013 10:31:06:610PM
NC_011745.1	CU928162.2	5209548	585397	59379	Escherichia coli ED1a	chromosome 	Dec 22 2008	Aug 27 2013  9:32:25:446PM
NC_011747.1	CU928146.1	133853	585035	62979	Escherichia coli S88	plasmid pECOS88	Dec 19 2008	Jun  7 2013  9:56:58:946PM
NC_011748.1	CU928145.2	5154862	585055	59383	Escherichia coli 55989	chromosome 	Dec 22 2008	Aug 27 2013  9:32:45:963PM
NC_011749.1	CU928148.1	122301	585056	62981	Escherichia coli UMN026	plasmid p1ESCUM	Dec 22 2008	Jun 10 2013  8:30:28:933PM
NC_011750.1	CU928164.2	5132068	585057	59381	Escherichia coli IAI39	chromosome 	Dec 22 2008	Aug 27 2013  9:33:06:693PM
NC_011751.1	CU928163.2	5202090	585056	62981	Escherichia coli UMN026	chromosome 	Dec 22 2008	Aug 27 2013  9:31:07:313PM
NC_011753.2	FM954972.2	3299303	575788	59353	Vibrio splendidus LGP32	chromosome 1	Dec 22 2008	Jun 10 2013 10:31:20:670PM
NC_011757.1	CP001298.1	5777908	440085	58933	Methylobacterium extorquens CM4	chromosome 	Dec 19 2008	Jun 10 2013  8:27:23:193PM
NC_011758.1	CP001299.1	380207	440085	58933	Methylobacterium extorquens CM4	plasmid pMCHL01	Dec 19 2008	Jun 10 2013  8:27:48:146PM
NC_011760.1	CP001300.1	22617	440085	58933	Methylobacterium extorquens CM4	plasmid pMCHL02	Dec 19 2008	Jun  7 2013  9:57:03:816PM
NC_011761.1	CP001219.1	2982397	243159	57649	Acidithiobacillus ferrooxidans ATCC 23270	chromosome 	Dec 22 2008	Jun 27 2013  8:13:57:690PM
NC_011766.1	CP001140.1	1365223	490899	59133	Desulfurococcus kamchatkensis 1221n	chromosome 	Dec 29 2008	Jun 10 2013  8:33:26:076PM
NC_011768.1	CP001322.1	6517073	439235	58913	Desulfatibacillum alkenivorans AK-01	chromosome 	Dec 25 2008	Jun 10 2013  8:32:39:860PM
NC_011769.1	CP001197.1	4040304	883	59089	Desulfovibrio vulgaris str. 'Miyazaki F'	chromosome 	Dec 29 2008	Jun 10 2013  8:33:54:180PM
NC_011770.1	FM209186.1	6601757	557722	59275	Pseudomonas aeruginosa LESB58	chromosome 	Dec 29 2008	Jun 10 2013  8:34:41:150PM
NC_011771.1	CP001286.1	10915	405535	58751	Bacillus cereus AH820	plasmid pAH820_10	Dec 28 2008	Jun  7 2013 10:12:54:976PM
NC_011772.1	CP001186.1	5387334	405531	58759	Bacillus cereus G9842	chromosome 	Dec 29 2008	Jun 10 2013  8:35:32:826PM
NC_011773.1	CP001283.1	5302683	405535	58751	Bacillus cereus AH820	chromosome 	Dec 29 2008	Jun 10 2013  8:36:12:000PM
NC_011774.1	CP001188.1	140001	405531	58759	Bacillus cereus G9842	plasmid pG9842_140	Dec 28 2008	Jun  7 2013 10:12:58:866PM
NC_011775.1	CP001187.1	209488	405531	58759	Bacillus cereus G9842	plasmid pG9842_209	Dec 28 2008	Jun 10 2013  8:33:07:066PM
NC_011776.1	CP001284.1	3091	405535	58751	Bacillus cereus AH820	plasmid pAH820_3	Dec 28 2008	Jun  7 2013 10:13:07:810PM
NC_011777.1	CP001285.1	272145	405535	58751	Bacillus cereus AH820	plasmid pAH820_272	Dec 28 2008	Jun 10 2013  8:33:10:780PM
NC_011778.1	CP001201.1	36852	445985	59429	Borrelia burgdorferi ZS7	plasmid ZS7_lp36	Dec 29 2008	Jun  7 2013 10:13:15:953PM
NC_011779.1	CP001209.1	29758	445985	59429	Borrelia burgdorferi ZS7	plasmid ZS7_lp28-2	Dec 29 2008	Jun  7 2013 10:13:17:636PM
NC_011780.1	CP001210.1	23422	445985	59429	Borrelia burgdorferi ZS7	plasmid ZS7_lp28-1	Dec 29 2008	Jun  7 2013 10:13:19:326PM
NC_011781.1	CP001203.1	28414	445985	59429	Borrelia burgdorferi ZS7	plasmid ZS7_lp28-3	Dec 29 2008	Jun  7 2013 10:13:20:586PM
NC_011782.1	CP001204.1	17266	445985	59429	Borrelia burgdorferi ZS7	plasmid ZS7_lp17	Dec 29 2008	Jun  7 2013 10:13:21:336PM
NC_011783.1	CP001198.1	24326	445985	59429	Borrelia burgdorferi ZS7	plasmid ZS7_lp25	Jan 2 2009	Jun  7 2013 10:23:05:020PM
NC_011784.1	CP001199.1	53615	445985	59429	Borrelia burgdorferi ZS7	plasmid ZS7_lp54	Jan 2 2009	Jun  7 2013 10:23:07:483PM
NC_011785.1	CP001207.1	28885	445985	59429	Borrelia burgdorferi ZS7	plasmid ZS7_lp28-4	Dec 29 2008	Jun  7 2013 10:22:43:970PM
NS_000195.1	CU466930.1	2246820	456827	62959	Candidatus Cloacamonas acidaminovorans	chromosome 	Dec 30 2008	Dec 22 2012 10:28:03:643PM
NC_011830.1	CP001336.1	5279134	272564	57749	Desulfitobacterium hafniense DCB-2	chromosome 	Jan 6 2009	Jun 10 2013  8:36:50:140PM
NC_011831.1	CP001337.1	4684931	326427	58621	Chloroflexus aggregans DSM 9485	chromosome 	Jan 9 2009	Jun 10 2013  8:37:45:060PM
NC_011832.1	CP001338.1	2922917	521011	59193	Methanosphaerula palustris E1-9c	chromosome 	Jan 9 2009	Jun 10 2013  8:38:14:696PM
NC_011833.1	CP001161.1	642122	563178	59285	Buchnera aphidicola str. 5A (Acyrthosiphon pisum)	chromosome 	Jan 6 2009	Jun 10 2013  8:37:04:863PM
NC_011834.1	CP001158.1	641895	561501	59283	Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum)	chromosome 	Jan 6 2009	Jun 10 2013  8:37:08:253PM
NC_011835.1	CP001213.1	1933695	442563	58911	Bifidobacterium animalis subsp. lactis AD011	chromosome 	Jan 6 2009	Jun 27 2013  8:18:02:826PM
NC_011836.1	AP009050.1	59182	583346	59369	Clostridium kluyveri NBRC 12016	plasmid pCKL1	Jan 6 2009	Jun  7 2013 10:26:20:910PM
NC_011837.1	AP009049.1	3896121	583346	59369	Clostridium kluyveri NBRC 12016	chromosome 	Jan 9 2009	Jun 10 2013  8:38:33:800PM
NC_011852.1	CP001321.1	2269156	557723	59273	Haemophilus parasuis SH0165	chromosome 	Jan 9 2009	Jun 10 2013  8:38:51:170PM
NC_011878.1	AY438025.1	6054	261318	58579	Buchnera aphidicola (Cinara cedri)	plasmid pLeu-BCc	Jan 9 2009	Jul 30 2013  2:34:24:970PM
NC_011879.1	CP001342.1	426858	452863	58969	Arthrobacter chlorophenolicus A6	plasmid pACHL01	Jan 9 2009	Jun 10 2013  8:39:06:623PM
NC_011880.1	CP001345.1	196837	395961	59435	Cyanothece sp. PCC 7425	plasmid pP742501	Jan 9 2009	Jun 10 2013  8:39:09:960PM
NC_011881.1	CP001343.1	158475	452863	58969	Arthrobacter chlorophenolicus A6	plasmid pACHL02	Jan 9 2009	Jun  7 2013 10:32:54:850PM
NC_011882.1	CP001347.1	34726	395961	59435	Cyanothece sp. PCC 7425	plasmid pP742503	Jan 9 2009	Jun  7 2013 10:32:57:766PM
NC_011883.1	CP001358.1	2873437	525146	59213	Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774	chromosome 	Jan 15 2009	Jun 10 2013  8:39:16:446PM
NC_011884.1	CP001344.1	5374574	395961	59435	Cyanothece sp. PCC 7425	chromosome 	Jan 15 2009	Jun 10 2013  8:39:35:343PM
NC_011885.1	CP001346.1	179973	395961	59435	Cyanothece sp. PCC 7425	plasmid pP742502	Jan 15 2009	Jun 10 2013  8:39:47:346PM
NC_011886.1	CP001341.1	4395537	452863	58969	Arthrobacter chlorophenolicus A6	chromosome 	Jan 15 2009	Jun 10 2013  8:39:59:860PM
NC_011887.1	CP001351.1	458070	460265	59023	Methylobacterium nodulans ORS 2060	plasmid pMNOD02	Jan 15 2009	Jun 10 2013  8:40:17:720PM
NC_011888.1	CP001354.1	20286	460265	59023	Methylobacterium nodulans ORS 2060	plasmid pMNOD05	Jan 15 2009	Jun  7 2013 10:38:55:860PM
NC_011889.1	CP001355.1	12638	460265	59023	Methylobacterium nodulans ORS 2060	plasmid pMNOD06	Jan 15 2009	Jun  7 2013 10:38:57:676PM
NC_011890.1	CP001356.1	9829	460265	59023	Methylobacterium nodulans ORS 2060	plasmid pMNOD07	Jan 15 2009	Jun  7 2013 10:38:58:420PM
NC_011891.1	CP001359.1	5029329	455488	58989	Anaeromyxobacter dehalogenans 2CP-1	chromosome 	Jan 15 2009	Jun 27 2013  8:16:18:306PM
NC_011892.1	CP001350.1	487734	460265	59023	Methylobacterium nodulans ORS 2060	plasmid pMNOD01	Jan 15 2009	Jun 10 2013  8:40:47:793PM
NC_011893.1	CP001352.1	40463	460265	59023	Methylobacterium nodulans ORS 2060	plasmid pMNOD03	Jan 15 2009	Jun  7 2013 10:41:17:410PM
NC_011894.1	CP001349.1	7772460	460265	59023	Methylobacterium nodulans ORS 2060	chromosome 	Jan 15 2009	Jun 10 2013  8:41:12:026PM
NC_011895.1	CP001353.1	37542	460265	59023	Methylobacterium nodulans ORS 2060	plasmid pMNOD04	Jan 15 2009	Jun  7 2013 10:43:59:530PM
NC_011896.1	FM211192.1	3268071	561304	59293	Mycobacterium leprae Br4923	chromosome 	Jan 23 2009	Jun 10 2013  8:43:12:263PM
NC_011898.1	CP001348.1	4068724	394503	58709	Clostridium cellulolyticum H10	chromosome 	Jan 15 2009	Jun 10 2013  8:41:58:483PM
NC_011899.1	CP001098.1	2578146	373903	58585	Halothermothrix orenii H 168	chromosome 	Jan 15 2009	Jun 10 2013  8:42:24:136PM
NC_011900.1	FM211187.1	2221315	561276	59287	Streptococcus pneumoniae ATCC 700669	chromosome 	Jan 23 2009	Jun 10 2013  8:43:30:720PM
NC_011901.1	CP001339.1	3464554	396588	59179	Thioalkalivibrio sulfidophilus HL-EbGr7	chromosome 	Jan 15 2009	Jul 30 2013  6:36:23:550PM
NC_011916.1	CP001340.1	4042929	565050	59307	Caulobacter crescentus NA1000	chromosome 	Jan 23 2009	Jun 10 2013  8:43:52:966PM
NC_011958.1	CP001151.1	1297647	557760	59277	Rhodobacter sphaeroides KD131	chromosome 2	Jan 26 2009	Jun 10 2013  8:44:14:946PM
NC_011959.1	CP001275.1	2003006	309801	59341	Thermomicrobium roseum DSM 5159	chromosome 	Jan 27 2009	Jun 10 2013  8:44:24:313PM
NC_011960.1	CP001153.1	103355	557760	59277	Rhodobacter sphaeroides KD131	plasmid pRSKD131B	Jan 27 2009	Jun  7 2013 10:53:42:133PM
NC_011961.1	CP001276.1	917738	309801	59341	Thermomicrobium roseum DSM 5159	plasmid unnamed	Jan 27 2009	Jun 10 2013  8:44:30:646PM
NC_011962.1	CP001152.1	157345	557760	59277	Rhodobacter sphaeroides KD131	plasmid pRSKD131A	Jan 22 2009	Jun  7 2013 10:48:21:040PM
NC_011963.1	CP001150.1	3152792	557760	59277	Rhodobacter sphaeroides KD131	chromosome 1	Jan 27 2009	Aug 27 2013  9:33:26:120PM
NC_011969.1	CP000227.1	5214195	361100	58529	Bacillus cereus Q1	chromosome 	Jan 28 2009	Jun 10 2013  8:45:53:053PM
NC_011971.1	CP000229.1	52766	361100	58529	Bacillus cereus Q1	plasmid pBc53	Jan 24 2009	Jun  7 2013 10:52:11:116PM
NC_011973.1	CP000228.1	239246	361100	58529	Bacillus cereus Q1	plasmid pBc239	Jan 27 2009	Jun 10 2013  8:44:51:880PM
NC_011978.1	CP000916.1	1884562	309803	59065	Thermotoga neapolitana DSM 4359	chromosome 	Jan 28 2009	Jun 10 2013  8:46:13:373PM
NC_011979.1	CP001390.1	4304501	316067	58543	Geobacter daltonii FRC-32	chromosome 	Jan 27 2009	Jun 10 2013  8:45:04:636PM
NC_011980.1		103275	475609	59039	Escherichia coli chi7122	plasmid pAPEC-1	Jan 28 2009	Jul 15 2013 11:26:47:576AM
NC_011981.1	CP000638.1	631775	311402	58249	Agrobacterium vitis S4	plasmid pAtS4e	Jan 28 2009	Jun 10 2013  8:46:24:090PM
NC_011982.1	CP000637.1	258824	311402	58249	Agrobacterium vitis S4	plasmid pTiS4	Jan 28 2009	Jun 10 2013  8:45:16:240PM
NC_011983.1	CP000629.1	2650913	311403	58269	Agrobacterium radiobacter K84	chromosome 2	Jan 28 2009	Jun 27 2013  8:15:26:663PM
NC_011984.1	CP000636.1	211620	311402	58249	Agrobacterium vitis S4	plasmid pAtS4c	Jan 28 2009	Jun 10 2013  8:45:26:260PM
NC_011985.1	CP000628.1	4005130	311403	58269	Agrobacterium radiobacter K84	chromosome 1	Jan 28 2009	Jun 10 2013  8:45:34:290PM
NC_011986.1	CP000639.1	78730	311402	58249	Agrobacterium vitis S4	plasmid pAtS4a	Jan 28 2009	Jun  7 2013 11:00:41:550PM
NC_011987.1	CP000631.1	388169	311403	58269	Agrobacterium radiobacter K84	plasmid pAtK84c	Jan 28 2009	Jun 10 2013  8:46:20:620PM
NC_011988.1	CP000634.1	1283187	311402	58249	Agrobacterium vitis S4	chromosome 2	Jan 28 2009	Jun 10 2013  8:46:32:890PM
NC_011989.1	CP000633.1	3726375	311402	58249	Agrobacterium vitis S4	chromosome 1	Jan 30 2009	Jun 10 2013  8:47:09:366PM
NC_011990.1	CP000630.1	184668	311403	58269	Agrobacterium radiobacter K84	plasmid pAtK84b	Jan 28 2009	Jun 27 2013  8:15:39:146PM
NC_011991.1	CP000635.1	130435	311402	58249	Agrobacterium vitis S4	plasmid pAtS4b	Jan 28 2009	Jun  7 2013 11:01:16:760PM
NC_011992.1	CP001392.1	3796573	535289	59233	Acidovorax ebreus TPSY	chromosome 	Jan 28 2009	Jun 10 2013  8:46:45:443PM
NC_011993.1	CU651637.1	4773108	591946	33825	Escherichia coli LF82	chromosome 	Jan 30 2009	Jun 10 2013  8:47:52:010PM
NC_011994.1	CP000632.1	44420	311403	58269	Agrobacterium radiobacter K84	plasmid pAgK84	Jan 28 2009	Jun 27 2013  8:15:42:116PM
NC_011995.1	AP009485.1	15667	458233	59003	Macrococcus caseolyticus JCSC5402	plasmid pMCCL1	Jan 29 2009	Jun  7 2013 11:02:19:376PM
NC_011996.1	AP009486.1	80545	458233	59003	Macrococcus caseolyticus JCSC5402	plasmid pMCCL2	Jan 29 2009	Jun  7 2013 11:02:20:863PM
NC_011997.1	AP009487.1	2131	458233	59003	Macrococcus caseolyticus JCSC5402	plasmid pMCCL3	Jan 29 2009	Jun  7 2013 11:02:21:383PM
NC_011998.1	AP009488.1	3417	458233	59003	Macrococcus caseolyticus JCSC5402	plasmid pMCCL4	Jan 29 2009	Jun  7 2013 11:02:21:700PM
NC_011999.1	AP009484.1	2102324	458233	59003	Macrococcus caseolyticus JCSC5402	chromosome 	Jan 30 2009	Jun 10 2013  8:47:24:880PM
NC_012000.1	AP009489.1	4398	458233	59003	Macrococcus caseolyticus JCSC5402	plasmid pMCCL5	Jan 29 2009	Jun  7 2013 11:02:22:080PM
NC_012001.1	AP009490.1	4226	458233	59003	Macrococcus caseolyticus JCSC5402	plasmid pMCCL6	Jan 29 2009	Jun  7 2013 11:02:22:516PM
NC_012002.1	AP009491.1	4061	458233	59003	Macrococcus caseolyticus JCSC5402	plasmid pMCCL7	Jan 29 2009	Jun  7 2013 11:02:22:870PM
NC_012003.1	AP009492.1	2968	458233	59003	Macrococcus caseolyticus JCSC5402	plasmid pMCCL8	Jan 29 2009	Jun  7 2013 11:02:23:223PM
NC_012004.1	AM946015.1	1852352	218495	57959	Streptococcus uberis 0140J	chromosome 	Jan 30 2009	Jun 10 2013  8:47:36:423PM
NC_012026.1	CP001079.1	1202435	320483	58577	Anaplasma marginale str. Florida	chromosome 	Feb 4 2009	Jun 10 2013  8:48:07:926PM
NC_012028.1	CP001366.1	525943	416348	58807	Halorubrum lacusprofundi ATCC 49239	chromosome 2	Feb 4 2009	Jun 10 2013  8:48:13:140PM
NC_012029.1	CP001365.1	2735295	416348	58807	Halorubrum lacusprofundi ATCC 49239	chromosome 1	Feb 4 2009	Jun 10 2013  8:48:21:106PM
NC_012030.1	CP001367.1	431338	416348	58807	Halorubrum lacusprofundi ATCC 49239	plasmid pHLAC01	Feb 4 2009	Jun 10 2013  8:48:31:093PM
NC_012032.1	CP001364.1	5268950	480224	59085	Chloroflexus sp. Y-400-fl	chromosome 	Feb 4 2009	Jun 10 2013  8:48:44:953PM
NC_012034.1	CP001393.1	2919718	521460	59201	Caldicellulosiruptor bescii DSM 6725	chromosome 	Feb 4 2009	Jun 10 2013  8:49:09:930PM
NC_012036.1	CP001394.1	8291	521460	59201	Caldicellulosiruptor bescii DSM 6725	plasmid pATHE01	Feb 4 2009	Jun  7 2013 11:09:31:500PM
NC_012037.1	CP001395.1	3653	521460	59201	Caldicellulosiruptor bescii DSM 6725	plasmid pATHE02	Feb 4 2009	Jun  7 2013 11:09:31:856PM
NC_012039.1	CP000932.1	1525460	306263	58115	Campylobacter lari RM2100	chromosome 	Feb 5 2009	Aug 27 2013  4:19:55:823AM
NC_012040.1	CP000933.1	46201	306263	58115	Campylobacter lari RM2100	plasmid megaplasmid pCL2100	Feb 5 2009	Jun  7 2013 11:09:35:543PM
NC_012108.1	CP001087.1	5589073	177437	59061	Desulfobacterium autotrophicum HRM2	chromosome 	Feb 27 2009	Jun 10 2013  8:49:48:326PM
NC_012109.1	CP001088.1	68709	177437	59061	Desulfobacterium autotrophicum HRM2	plasmid pHRM2a	Feb 27 2009	Jun  7 2013 11:13:07:003PM
NC_012115.1	CP001279.1	1676444	598659	59345	Nautilia profundicola AmH	chromosome 	Feb 27 2009	Jun 10 2013  8:50:12:473PM
NC_012121.1	AM295250.1	2566424	396513	59401	Staphylococcus carnosus subsp. carnosus TM300	chromosome 	Mar 3 2009	Jun 10 2013  8:50:23:300PM
NC_012124.1	CP000858.1	55414	476213	59063	Salmonella enterica subsp. enterica serovar Paratyphi C strain RKS4594	plasmid pSPCV	Mar 4 2009	Aug 20 2013  4:28:54:170PM
NC_012125.1	CP000857.1	4833080	476213	59063	Salmonella enterica subsp. enterica serovar Paratyphi C strain RKS4594	chromosome 	Mar 5 2009	Aug 20 2013  4:29:02:033PM
NC_012207.1	AP010918.1	4371711	561275	59281	Mycobacterium bovis BCG str. Tokyo 172	chromosome 	Mar 13 2009	Jun 10 2013  8:51:25:816PM
NC_012214.1	FP236842.1	4026322	634499	40659	Erwinia pyrifoliae Ep1/96	chromosome 	Sep 28 2009	Jun 10 2013  9:49:35:913PM
NC_012225.1	CP001357.1	3000694	565034	59291	Brachyspira hyodysenteriae WA1	chromosome 	Mar 24 2009	Aug 28 2013  6:27:12:360PM
NC_012226.1	CP001360.1	35940	565034	59291	Brachyspira hyodysenteriae WA1	plasmid pBHWA1	Mar 19 2009	Jun  7 2013 11:22:44:700PM
NC_012416.1	CP001391.1	1445873	66084	59371	Wolbachia sp. wRi	chromosome 	Mar 24 2009	Jun 10 2013  8:52:07:260PM
NC_012417.1	CP001544.1	3125	451516	58925	Staphylococcus aureus subsp. aureus USA300_TCH1516	plasmid pUSA01-HOU	Mar 24 2009	Jun  7 2013 11:25:46:446PM
NC_012438.1	CP001229.1	1640877	204536	58121	Sulfurihydrogenibium azorense Az-Fu1	chromosome 	Mar 30 2009	Jun 10 2013  8:52:19:700PM
NC_012439.1	CP001231.1	53682	123214	58119	Persephonella marina EX-H1	plasmid unnamed	Mar 25 2009	Jun  7 2013 11:25:48:603PM
NC_012440.1	CP001230.1	1930284	123214	58119	Persephonella marina EX-H1	chromosome 	Mar 30 2009	Jun 10 2013  8:52:27:200PM
NC_012441.1	CP001488.1	2125701	546272	59241	Brucella melitensis ATCC 23457	chromosome I	Mar 30 2009	Jun 10 2013  8:52:37:426PM
NC_012442.1	CP001489.1	1185518	546272	59241	Brucella melitensis ATCC 23457	chromosome II	Mar 25 2009	Jun 10 2013  8:52:12:973PM
NC_012466.1	CP000919.1	2120234	488222	59121	Streptococcus pneumoniae JJA	chromosome 	Mar 30 2009	Jun 10 2013  8:52:48:213PM
NC_012467.1	CP000920.1	2111882	488223	59123	Streptococcus pneumoniae P1031	chromosome 	Mar 30 2009	Jun 10 2013  8:52:56:593PM
NC_012468.1	CP000918.1	2184682	488221	59125	Streptococcus pneumoniae 70585	chromosome 	Mar 30 2009	Jun 10 2013  8:53:08:850PM
NC_012469.1	CP000921.1	2112148	487213	59119	Streptococcus pneumoniae Taiwan19F-14	chromosome 	Mar 30 2009	Jun 10 2013  8:53:19:670PM
NC_012470.1	FM204884.1	2149868	40041	59261	Streptococcus equi subsp. zooepidemicus	chromosome 	Mar 30 2009	Jun 10 2013  8:53:57:886PM
NC_012471.1	FM204883.1	2253793	553482	59259	Streptococcus equi subsp. equi 4047	chromosome 	Mar 30 2009	Jun 10 2013  8:54:08:623PM
